Supplier,rows,missing_rate,dup_rate,neg_qty_rate,bad_rrp_rate,extreme_price_rate,score_completeness,score_uniqueness,score_validity,avg_rrp_std,score_consistency,data_health_score
NESTLE KENYA LIMITED,45,0.0,0.0444,0.0,0.0,0.0,1.0,0.9555555555555556,1.0,54.866292473532454,0.7577165177814107,95.0324
NG WINDSONG KENYA LIMITED,39,0.0,0.0513,0.0,0.0,0.0,1.0,0.9487179487179487,1.0,36.47675106840027,0.8474347716570304,96.1731
NJORO CANNING FACTORY KENYA LIMITED,11,0.0,0.1818,0.0,0.0,0.0,1.0,0.8181818181818181,1.0,15.148185926873415,0.951491832135774,93.8178
NORDA INDUSTRIES LIMITED,764,0.0013,0.0288,0.0,0.0013,0.0,0.9986910994764397,0.9712041884816754,0.9986910994764397,11.201753571318164,0.9707455488097446,98.6253
NUTRI DELIGHTS LIMITED,6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.3185551852807675,0.989690761796441,99.8454
ON DEMAND DISTRIBUTION HOUSE,21,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,38.75929634590327,0.8362987692860055,97.5445
PERFECT TRADE DEVELOPMENT LIMITED,11,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.717250475802989,0.9926243862622733,99.8894
PIONEER FOODS LIMITED,9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.103443712397837,0.9858614749975707,99.7879
POLMERK INDUSTRIES LIMITED,6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.59449366264512,0.9932232879251928,99.8983
PONDERS LIMITED,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,146.25089555281363,0.31187250031713964,59.6781
PORTCROSS LIMITED,85,0.0118,0.1176,0.0,0.0118,0.0,0.9882352941176471,0.8823529411764706,0.9882352941176471,31.876969245587134,0.8698760269477381,93.8717
PRADIP ENTERPRISES (E.A) LTD,7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16.34785103104789,0.9456389478244769,99.1846
PREMIER FOODS LIMITED,601,0.0,0.0333,0.0,0.0,0.0,1.0,0.9667221297836939,1.0,29.08243569161631,0.8835098998832056,97.2543
PROCTOR & ALLAN (EA) LIMITED,13,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,45.54133422592398,0.8032107991779552,97.0482
